run_index,voted_redundant_blocks,num_voted_blocks
1,"4,24,25,34,35,38,39,40,41,52,53",11
2,"4,24,25,34,35,38,39,40,41,51,52,53",12
3,"4,24,25,34,35,38,39,40,41,52,53",11
4,"4,24,25,34,35,38,39,40,41,52,53",11
5,"4,24,25,34,35,38,39,40,41,52,53",11
6,"4,24,25,34,35,38,39,40,41,52,53",11
7,"4,24,25,34,35,38,39,40,41,52,53",11
8,"4,24,25,30,34,35,38,39,40,41,52,53",12
9,"4,24,25,34,35,38,39,40,41,52,53",11
10,"4,24,25,34,35,38,39,40,41,52,53",11
11,"4,24,25,34,35,38,39,40,41,52,53",11
12,"4,24,25,34,35,38,39,40,41,52,53",11
13,"4,24,25,35,38,39,40,41,52,53",10
14,"4,24,25,34,35,38,39,40,41,52,53",11
15,"4,24,25,34,35,38,39,40,41,52,53",11
16,"4,24,25,34,35,38,39,40,41,52,53",11
17,"4,24,25,34,35,38,39,40,41,52,53",11
18,"4,24,25,34,35,38,39,40,41,52,53",11
19,"4,24,25,34,35,38,39,40,41,52,53",11
20,"4,24,25,34,35,38,39,40,41,52,53",11
21,"4,24,25,34,35,38,39,40,41,52,53",11
22,"4,24,25,34,35,38,39,40,41,52,53",11
23,"4,24,25,34,35,38,39,40,41,52,53",11
24,"4,24,25,34,35,38,39,40,41,52,53",11
25,"4,24,25,34,35,38,39,40,41,52,53",11
26,"4,24,25,34,35,38,39,40,41,52,53",11
27,"4,24,25,34,35,38,39,40,41,52,53",11
28,"4,24,25,34,35,38,39,40,41,52,53",11
29,"4,24,25,34,35,38,39,40,41,52,53",11
30,"4,24,25,34,35,38,39,40,41,52,53",11
31,"4,24,25,34,35,38,39,40,41,52,53",11
32,"4,24,25,34,35,38,39,40,41,52,53",11
33,"4,24,25,34,35,38,39,40,41,52,53",11
34,"4,24,25,34,35,38,39,40,41,53",10
35,"4,24,25,34,35,38,39,40,41,53",10
36,"4,24,25,34,35,38,39,40,41,52,53",11
37,"4,24,25,34,35,38,39,40,41,52,53",11
38,"4,24,25,34,35,38,39,40,41,52,53",11
39,"4,24,25,34,35,38,39,40,41,52,53",11
40,"4,24,25,34,35,38,39,40,41,52,53",11
41,"4,24,25,30,34,35,38,39,40,41,52,53",12
42,"4,24,25,35,38,39,40,41,52,53",10
43,"4,24,25,34,35,38,39,40,41,52,53",11
44,"4,24,25,34,35,38,39,40,41,53",10
45,"4,24,25,34,35,38,39,40,41,52,53",11
46,"4,24,25,34,35,38,39,40,41,52,53",11
47,"4,24,25,34,35,38,39,40,41,52,53",11
48,"4,24,25,34,35,38,39,40,41,52,53",11
49,"4,24,25,30,34,35,38,39,40,41,52,53",12
50,"4,24,25,34,35,38,39,40,41,52,53",11
51,"4,24,25,34,35,38,39,40,41,52,53",11
52,"4,24,25,34,35,38,39,40,41,52,53",11
53,"4,24,25,34,35,38,39,40,41,52,53",11
54,"4,24,25,34,35,38,39,40,41,52,53",11
55,"4,24,25,34,35,38,39,40,41,52,53",11
56,"4,24,25,34,35,38,39,40,41,52,53",11
57,"4,24,25,34,35,38,39,40,41,52,53",11
58,"4,24,25,35,38,39,40,41,52,53",10
59,"4,24,25,34,35,38,39,40,41,52,53",11
60,"4,24,25,34,35,38,39,40,41,52,53",11
61,"4,24,25,34,35,38,39,40,41,52,53",11
62,"4,24,25,34,35,38,39,40,41,52,53",11
63,"4,24,25,34,35,38,39,40,41,52,53",11
64,"4,24,25,34,35,38,39,40,41,52,53",11
65,"4,24,25,34,35,38,39,40,41,52,53",11
66,"4,24,25,34,35,38,39,40,41,52,53",11
67,"4,24,25,34,35,38,39,40,41,52,53",11
68,"4,24,25,34,35,38,39,40,41,53",10
69,"4,24,25,34,35,38,39,40,41,52,53",11
70,"4,24,25,34,35,38,39,40,41,52,53",11
71,"4,24,25,34,35,38,39,40,41,52,53",11
72,"4,24,25,34,35,38,39,40,41,52,53",11
73,"4,24,25,34,35,38,39,40,41,52,53",11
74,"4,24,25,34,35,38,39,40,41,52,53",11
75,"4,24,25,34,35,38,39,40,41,52,53",11
76,"4,24,25,34,35,38,39,40,41,52,53",11
77,"4,25,34,35,38,39,40,41,52,53",10
78,"4,24,25,34,35,38,39,40,41,52,53",11
79,"4,24,25,34,35,38,39,40,41,52,53",11
80,"4,24,25,34,35,38,39,40,41,51,52,53",12
81,"4,24,25,34,35,38,39,40,41,53",10
82,"4,24,25,35,38,39,40,41,52,53",10
83,"4,24,25,34,35,38,39,40,41,52,53",11
84,"4,24,25,34,35,38,39,40,41,52,53",11
85,"4,24,25,34,35,38,39,40,41,52,53",11
86,"4,24,25,34,35,38,39,40,41,52,53",11
87,"4,24,25,34,35,38,39,40,41,52,53",11
88,"4,24,25,34,35,38,39,40,41,52,53",11
89,"4,24,25,34,35,38,39,40,41,52,53",11
90,"4,24,25,34,35,38,39,40,41,52,53",11
91,"4,24,25,34,35,38,39,40,41,52,53",11
92,"4,24,25,34,35,38,39,40,41,52,53",11
93,"4,24,25,34,35,38,39,40,41,51,52,53",12
94,"4,24,25,34,35,38,39,40,41,52,53",11
95,"4,25,34,35,38,39,40,41,52,53",10
96,"4,24,25,34,35,38,39,40,41,52,53",11
97,"4,24,25,34,35,38,39,40,41,52,53",11
98,"4,24,25,34,35,38,39,40,41,52,53",11
99,"4,24,25,34,35,38,39,40,41,51,52,53",12
100,"4,24,25,34,35,38,39,40,41,52,53",11
