run_index,voted_redundant_blocks,num_voted_blocks
1,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
2,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
3,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
4,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
5,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
6,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
7,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
8,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
9,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,50,52",21
10,"7,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,50,52",22
11,"7,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",22
12,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
13,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
14,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
15,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
16,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
17,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
18,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,48,52",20
19,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
20,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
21,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
22,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
23,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,49,52",20
24,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
25,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
26,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
27,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,50,52",19
28,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
29,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
30,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
31,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",21
32,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
33,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",18
34,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
35,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
36,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
37,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
38,"7,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,49,52",22
39,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
40,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",21
41,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
42,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
43,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",18
44,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
45,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
46,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
47,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
48,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
49,"7,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",21
50,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
51,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,50,52",20
52,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
53,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,50,52",20
54,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
55,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
56,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,41,52",21
57,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
58,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
59,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
60,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",21
61,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
62,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
63,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
64,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
65,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",20
66,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
67,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
68,"7,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",20
69,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
70,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
71,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
72,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,50,52",21
73,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
74,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
75,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
76,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",21
77,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
78,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
79,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
80,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
81,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",18
82,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
83,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
84,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
85,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
86,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,50,52",19
87,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
88,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",21
89,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
90,"7,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
91,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",21
92,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
93,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",18
94,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",18
95,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",20
96,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",19
97,"7,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,50,52",20
98,"7,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,52",21
99,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",21
100,"7,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,52",19
