epoch,baseline_train_loss,baseline_train_acc,baseline_val_loss,baseline_val_acc,pruned_train_loss,pruned_train_acc,pruned_val_loss,pruned_val_acc
0,5.126698459320068,2.374,4.495050659942627,3.41,5.228434711761475,1.906,4.619518737792969,2.91
1,4.381082680358887,4.75,4.262134511566162,7.26,4.481217869262696,4.124,4.370638718414306,4.86
2,4.1141304515075685,8.0,3.9862162483215333,10.25,4.19112472579956,7.032,4.054235329055786,9.19
3,3.8765931382751466,10.998,3.782423899078369,12.66,3.9194274256134034,10.124,3.8762830600738525,11.64
4,3.6698317237854003,14.176,3.5981713569641114,16.07,3.719296614379883,13.108,3.712411575317383,12.86
5,3.511115196685791,16.832,3.45978203086853,17.6,3.564222797088623,15.498,3.557797367858887,15.94
6,3.3665989665985108,19.012,3.331158596038818,18.88,3.4292968479919432,17.698,3.495954500579834,16.97
7,3.2245834281921386,21.262,3.3480949634552,19.58,3.299029478225708,19.816,3.366974931335449,19.15
8,3.09304950592041,23.624,2.983106852722168,26.36,3.1673018898010254,22.134,3.0758910499572756,23.97
9,2.9534640811157225,25.838,2.9215953998565674,27.28,3.046528660507202,24.474,2.9626154338836668,26.11
10,2.7996228032684325,28.792,2.827018318939209,28.84,2.885193346710205,27.274,2.905659349822998,27.07
11,2.6490975340270997,31.924,3.121648542404175,23.68,2.7556021224975584,29.722,2.923291122055054,26.71
12,2.5212553866577148,34.53,2.633301885986328,32.21,2.614209348449707,32.35,2.689293440246582,30.46
13,2.419345718841553,36.374,2.9075175899505616,29.21,2.508054446258545,34.778,2.751816861343384,30.38
14,2.3116809573364256,38.778,2.9400891860961913,27.71,2.393021627502441,37.258,2.506449402999878,34.8
15,2.240006436691284,40.676,2.502027763366699,35.3,2.316481649246216,38.604,2.507423218154907,35.11
16,2.1695196276474,41.858,2.4078996791839598,36.69,2.231829844970703,40.564,2.462590871047974,35.37
17,2.1016985597229003,43.53,2.6325447311401367,33.98,2.148490244216919,42.588,2.2502228366851806,40.63
18,2.0458976375579834,44.894,2.4924082565307617,35.42,2.0915742036437988,43.732,2.615270836639404,33.69
19,1.9858005604553222,46.072,2.889333599472046,29.69,2.0185927893066404,45.37,2.7595111000061037,32.89
20,1.9356841609191895,47.106,2.4370345680236816,37.14,1.9632549961853027,46.554,2.301258985900879,39.81
21,1.892617236595154,48.112,2.519285924911499,37.99,1.9187503838348388,47.586,2.2033037715911865,40.72
22,1.8484401124572754,49.1,2.355224242782593,39.33,1.8773461895751953,48.65,2.354923900604248,38.53
23,1.80207887550354,50.47,2.171913821220398,41.11,1.8454799950408936,49.742,1.9725035274505616,46.52
24,1.770100043258667,51.36,1.892007629776001,48.62,1.8062092974853516,50.346,2.4383108043670654,37.88
25,1.7471333277130128,51.702,2.1505798751831056,43.0,1.7789936666488648,51.01,2.4476643335342407,39.06
26,1.707924295425415,52.59,2.0291834215164184,46.12,1.7660920807647704,51.276,2.477695251464844,37.36
27,1.6930923749542237,53.39,2.7428448375701904,32.32,1.7313534273910522,52.22,2.428723192024231,39.94
28,1.6747913262557983,53.206,2.0268253688812257,45.1,1.7155463842010499,52.59,2.3122793207168577,40.38
29,1.655080604019165,54.134,2.281986208152771,42.9,1.6888330382537842,53.418,2.1258478397369385,44.27
30,1.6299684091186524,54.962,2.1435928157806394,44.61,1.6830589371109008,53.364,2.4047367103576662,39.55
31,1.6176479333877563,55.144,2.379296948623657,40.21,1.6587153543853759,54.21,1.9878130004882812,45.96
32,1.5977314138412475,55.688,2.383942427444458,40.95,1.642182244796753,54.702,2.2637582710266115,41.92
33,1.5793715395355226,56.122,2.045029998588562,45.99,1.6299824634552003,54.868,2.1634617797851563,43.68
34,1.573558726272583,56.182,2.2028338829040526,43.21,1.6222898754119872,54.836,2.1226535171508787,45.37
35,1.5557790368270874,56.558,2.0166231391906737,46.02,1.6000724239349364,55.402,2.1853493282318115,44.7
36,1.5409868047332764,57.086,2.0582691665649415,46.0,1.5945772311401367,55.692,1.9311106075286866,48.32
37,1.539284256477356,56.948,2.8298346572875976,32.99,1.5880563461303712,55.872,1.8809690254211426,49.64
38,1.512352377243042,57.876,1.8895684576034546,49.1,1.5530689516830445,56.896,1.9800894620895386,47.04
39,1.5072007680892945,57.8,1.9147072368621827,48.19,1.558280851097107,56.776,1.9973780374526977,46.72
40,1.4963578581619263,58.158,2.2043592952728273,42.2,1.5551787810897828,56.668,2.205299044799805,43.33
41,1.48646602684021,58.232,2.310706865119934,43.21,1.534827703590393,57.374,2.0759705900192262,44.98
42,1.4760268310546876,58.574,2.064946033287048,45.52,1.5266303421783447,57.482,2.4279547386169433,39.84
43,1.4625576567840577,59.114,1.9813627700805665,47.39,1.5192902518081666,57.646,1.9289016696929933,48.87
44,1.4541158543395996,59.29,1.9993286138534545,47.63,1.5064560189819336,57.944,1.9905721815109252,47.9
45,1.4522076120758056,59.296,2.148953490447998,44.85,1.504751617088318,57.846,1.935178660774231,48.26
46,1.4296383963775634,59.896,2.155957240486145,44.17,1.4943798671340942,58.386,2.0406358829498292,46.01
47,1.4349345737838746,59.52,1.9827974285125733,47.92,1.489098835144043,58.672,1.94896695728302,47.8
48,1.4284443789672852,59.894,2.4540874767303467,41.91,1.4767233716201782,58.774,2.0612181011199953,46.28
49,1.4154572843933106,60.344,1.7624209659576415,52.28,1.4763317917251586,58.84,2.1726524406433105,44.81
50,1.4152135753250121,60.31,1.777741662979126,51.98,1.472532822036743,58.724,2.513831190109253,41.16
51,1.4094410803604125,60.544,2.0434946376800536,47.93,1.4553230615615844,59.552,1.9088284009933472,48.85
52,1.4013564430999756,60.762,2.2050733304977417,43.38,1.454656562614441,59.272,2.1762852878570556,45.32
53,1.396010799293518,60.81,1.9590223594665528,48.68,1.45621833152771,59.198,2.3272277137756348,42.5
54,1.3945878760528565,60.812,1.9820783727645874,48.75,1.4485608057022095,59.42,1.837631344795227,50.67
55,1.3915760565185546,60.95,2.0261684425354005,47.79,1.4437873350334167,59.712,1.7639021476745604,52.14
56,1.378533807144165,61.386,1.839516587638855,51.39,1.4374615619659423,59.916,1.766727843284607,52.03
57,1.3795431533813476,61.33,2.26822820854187,43.52,1.4381559900665284,59.854,2.075883979225159,47.26
58,1.3695271963882447,61.264,2.0444371315002443,48.09,1.4328881167602538,59.942,2.006484884643555,46.98
59,1.3674329320144654,61.332,1.8992250705718994,50.17,1.4268669884490968,60.41,1.8510323850631714,51.39
60,1.3565502401351928,61.766,1.7939718809127807,51.55,1.4160501711273192,60.248,2.129887797164917,44.72
61,1.3523665253067017,62.076,2.4704743385314942,41.67,1.4141976447677613,60.34,2.149713204193115,44.1
62,1.352031868247986,61.952,1.9417480325698853,49.0,1.4191726138687133,60.434,1.8961975301742553,48.65
63,1.3459695891571044,62.118,2.2153353256225587,42.78,1.406389267807007,60.744,2.2133462284088137,45.15
64,1.334243647994995,62.532,2.036152321434021,48.61,1.3962908959960938,60.89,1.7997432342529296,51.39
65,1.3396933639144897,62.3,2.0284190553665162,48.72,1.3963489726638794,60.82,1.8067678043365478,51.54
66,1.3310627522659302,62.694,1.669706276702881,54.32,1.390247087020874,61.084,1.811009751701355,51.94
67,1.334776015625,62.508,2.9144854034423826,35.47,1.3828237244415282,61.416,2.1507097202301027,44.84
68,1.3370095589447022,62.55,1.9259651065826415,49.29,1.386365643081665,61.148,2.10745643863678,46.52
69,1.319874642944336,62.962,1.7544024738311768,52.45,1.3879276096725464,61.274,1.8614184041976929,50.76
70,1.3126307137298583,62.962,1.8644103664398193,50.83,1.384784317817688,61.29,1.843054081916809,50.86
71,1.3237977278518678,62.836,1.6350175348281861,55.0,1.370695877380371,61.512,1.8340947248458863,50.36
72,1.3135905683135987,62.986,1.8516223033905028,50.64,1.375154641456604,61.482,2.057250220108032,45.71
73,1.2991274645233155,63.462,2.2612561416625976,44.61,1.3734490424346923,61.38,2.002183696746826,47.67
74,1.3102161260223388,63.036,2.1567129161834715,46.77,1.366284594039917,61.83,1.7779997497558593,52.1
75,1.3041823382949829,63.222,1.7891342401504517,52.75,1.368137202835083,61.664,2.594541883468628,39.66
76,1.2924315472030639,63.678,2.067110789680481,47.55,1.3620520666885376,61.968,1.8282291017532348,51.76
77,1.304356223526001,63.156,1.8478992601394653,51.62,1.353930694923401,62.21,2.3955284870147704,41.76
78,1.2951230878448485,63.566,1.8057856996536255,52.09,1.3654151239013672,61.662,2.101203645324707,46.1
79,1.2862238332366944,63.806,1.874622064590454,50.9,1.366726511001587,61.706,1.936777686882019,49.45
80,1.2902816906738281,63.664,1.7956718900680542,52.23,1.3632295140838624,61.738,2.0194341930389403,47.91
81,1.2906558559799195,63.522,1.8595121282577514,50.82,1.3487592860794066,62.33,1.9683342620849609,49.19
82,1.284267020111084,64.022,1.7822180721282959,52.29,1.3380085051727295,62.502,2.009481964111328,48.78
83,1.2722823736190796,64.188,1.776998562812805,52.42,1.3552709270858765,62.016,1.7472036109924316,53.17
84,1.2815118313217162,63.958,1.8328896205902099,51.45,1.335162938194275,62.454,1.8354327310562133,51.96
85,1.2765557286071778,64.094,1.9640200304031372,49.81,1.33866569606781,62.56,1.8572621688842774,50.28
86,1.2775511643218995,64.062,1.7436611280441283,54.07,1.3382884062957763,62.482,1.9188699062347412,49.7
87,1.2662208486175537,64.418,2.2087393199920653,47.15,1.343363574295044,62.494,1.7699124202728271,51.85
