epoch,baseline_train_loss,baseline_train_acc,baseline_val_loss,baseline_val_acc,pruned_train_loss,pruned_train_acc,pruned_val_loss,pruned_val_acc
0,4.54153294342041,4.196,4.124986968994141,7.15,4.508165369873047,4.324,4.081811570739746,7.83
1,3.8819756799316405,10.332,3.719536572265625,12.73,3.8243637370300294,10.92,3.7196019702911376,12.85
2,3.623598040008545,14.476,3.5193732635498045,16.84,3.554846862106323,15.464,3.5077452465057375,16.29
3,3.4094591636657716,17.782,3.3406985195159913,18.61,3.366298192138672,18.592,3.315795859527588,19.61
4,3.23304265914917,21.172,3.209919808959961,21.21,3.2139275270843504,21.338,3.182698263549805,21.07
5,3.09026437210083,23.296,3.1771953853607178,21.94,3.057646417694092,23.91,3.1860925537109375,21.33
6,2.961675274505615,25.83,2.9833258758544923,25.65,2.921896699295044,26.272,3.163687771987915,22.24
7,2.8488382203674316,28.112,3.195583083343506,23.03,2.7961872284698486,28.73,2.9099593128204346,26.59
8,2.7366305491638183,30.26,2.9644033710479736,26.21,2.6946156899261475,30.976,3.0708461879730224,23.86
9,2.626848117752075,32.362,2.7731525356292726,29.79,2.5903398979187013,32.98,3.0017028743743897,25.44
10,2.511584669723511,34.794,2.9593774784088134,27.43,2.5174107082366945,34.618,2.872717245864868,28.31
11,2.4127210749816896,36.608,2.5844609718322755,32.69,2.432390140609741,36.258,2.7930859912872315,28.5
12,2.325036114501953,38.958,2.5929691963195802,33.44,2.3622424326324465,37.956,2.5234813270568845,33.62
13,2.2509575526428223,40.214,2.4534778400421144,35.57,2.2820374000549317,39.688,2.859255118560791,28.41
14,2.1751648013305664,41.85,2.6119854068756103,32.16,2.229310065460205,40.722,2.9987423480987547,29.88
15,2.1100149501037597,43.428,2.4731204902648924,35.39,2.1675047971343995,42.04,2.9771690578460692,27.29
16,2.0626011513519287,44.638,2.587901879501343,34.56,2.115413223724365,43.176,2.54408918838501,33.69
17,1.993939306640625,46.024,2.3627391513824465,37.18,2.0638808533477784,44.384,2.577235229110718,34.25
18,1.9646888507080078,46.666,2.216863999938965,41.54,2.006975188217163,45.818,2.213960065460205,41.57
19,1.928675033607483,47.284,2.6433144428253175,34.93,1.98264686088562,46.536,2.4560481594085695,36.59
20,1.887651669769287,48.47,2.8266024223327637,32.88,1.936142473297119,47.492,2.5502331554412843,34.56
