epoch,baseline_train_loss,baseline_train_acc,baseline_val_loss,baseline_val_acc,pruned_train_loss,pruned_train_acc,pruned_val_loss,pruned_val_acc
0,2.227733321533203,25.792,1.6602540239334107,36.45,1.929901390953064,31.562,1.7641236621856689,35.05
1,1.5876769831466675,40.872,1.510918945121765,45.2,1.4587517818069458,46.36,1.3452523174285889,50.22
2,1.3811705382919313,49.308,1.296250812149048,53.05,1.238050345954895,54.974,1.292360039138794,53.48
3,1.224223042640686,55.738,1.3143077074050904,54.04,1.1011881787109374,60.12,1.3823494440078736,52.91
4,1.0832568826675415,60.904,1.2778524532318116,55.76,1.0015358836364745,63.868,1.0391423334121703,63.49
5,0.9629902497673035,65.576,0.9388439167976379,66.05,0.9080607961845398,67.498,1.0478685187339782,63.86
6,0.8610972865867614,69.532,0.9750976300239563,66.76,0.8275852398300171,70.63,0.8567171880722045,69.98
7,0.7736374053573608,72.876,1.1951490189552307,58.63,0.7472965543365478,73.912,0.8785541165351868,69.85
8,0.7084415016555786,75.192,0.8058985428810119,72.45,0.6944317527389526,75.546,0.8477153509140015,70.61
9,0.6491803737258911,77.534,0.7408392821788787,75.46,0.65147487241745,77.456,1.0177676771163942,66.14
10,0.6126491494560242,78.7,0.735347594165802,75.14,0.6178340482521057,78.714,0.7690927835464477,73.38
11,0.5728261444473267,80.152,1.161792646408081,65.05,0.5887725589752197,79.776,1.6931783683776855,53.97
12,0.5468980574035645,81.024,0.9261202641487122,69.3,0.5663659159755707,80.688,0.8267314002990722,71.54
13,0.5174545176124573,82.234,1.0659045497894286,66.93,0.5511695366477967,81.142,0.7692635766029358,74.06
14,0.5007097934150696,82.684,1.5254400321006776,58.32,0.520732070350647,82.152,0.7649025076389313,74.49
15,0.4797723441123962,83.556,0.9066644291877747,71.98,0.5096588612937927,82.65,0.9302783666610718,71.75
16,0.4708232749843597,83.98,0.8735928418159485,70.0,0.5003839262008667,83.018,0.7368976580619812,75.31
17,0.45198613183975217,84.568,0.8508648710250855,72.77,0.4744072818756104,83.876,0.7479746967315674,74.98
18,0.4434515993118286,84.614,0.6328670593738556,78.56,0.47003707374572756,84.122,0.8037976854324341,73.35
19,0.43041941763877867,85.24,0.854285678100586,72.18,0.4669212437343597,84.098,0.843450571346283,72.68
20,0.4255368385505676,85.53,0.6531409598350525,78.44,0.44948573072433473,84.848,0.6853732882499695,75.63
21,0.42037830094337464,85.858,0.9718517516136169,70.56,0.4482685701370239,84.854,0.6582446263313293,78.65
22,0.40319673234939574,86.32,1.0164713434219361,69.59,0.4446089022254944,85.078,0.7213513789653778,76.22
23,0.4001708044433594,86.424,0.6481605566501617,79.36,0.4298695574092865,85.586,0.8327238445281983,73.08
24,0.3960442097568512,86.534,0.5907104512691498,80.39,0.4236127471733093,85.856,0.6078366672515869,79.11
25,0.38444201539993283,87.038,0.6557124248027801,78.09,0.42052325623512266,85.966,0.9228743618965148,70.28
26,0.38100468085289,87.188,0.593521253991127,80.84,0.4182741961669922,85.88,0.7730626667022705,75.52
27,0.38611392402648925,86.862,0.9261037864685059,72.73,0.4048553745651245,86.404,0.7636024351119995,74.26
28,0.3789190894126892,87.252,0.8453526823997498,74.6,0.4020613868713379,86.59,0.6688652564525605,77.38
29,0.3716351054382324,87.576,0.5967720490217209,80.54,0.3982948892211914,86.692,0.667823445558548,77.75
30,0.37034162393569947,87.498,0.4669402463912964,84.17,0.3991911090660095,86.602,0.5387955102920532,82.02
31,0.36590950094223024,87.792,0.6790496564388275,78.81,0.38910321588516233,87.022,0.6329273046970367,79.1
32,0.35911912117958067,87.978,0.5807831626415253,80.51,0.38585973314285277,87.074,0.6626087999820709,78.76
33,0.35175002603530886,88.176,0.8099197460174561,75.19,0.38842319027900696,87.06,1.0005837222099305,70.57
34,0.35049017526626586,88.298,0.6061506884098053,80.12,0.3767749715709686,87.37,0.6852409294128418,77.96
35,0.3502532255363464,88.294,0.6111532907247543,80.31,0.37338180555343625,87.612,0.53982012321949,82.13
36,0.34308106123924254,88.664,1.0130209233760834,72.02,0.3718652836894989,87.496,0.619286571931839,79.45
37,0.3376179330253601,88.608,0.592248613023758,81.02,0.3741688021659851,87.408,0.5643877967834473,80.55
38,0.3346429567909241,88.778,0.5510080069541932,82.25,0.3627249379634857,87.986,0.8702192508220673,73.33
39,0.3343392847537994,88.836,0.5714755829811096,81.44,0.3614410805892944,88.0,0.7528127668857575,75.37
40,0.3319184039592743,88.88,0.724833866262436,77.42,0.3600795816612244,87.898,0.9381340230941773,70.21
41,0.3344601581382751,88.752,0.44240175285339356,85.67,0.3574531019306183,88.028,0.8143601256370544,73.64
42,0.3215361502075195,89.316,0.9258561017990112,72.23,0.35520241704940797,88.292,0.6066709574222565,80.0
43,0.32449166321277617,89.106,0.7079554193019867,77.8,0.3521058109474182,88.364,0.612624897480011,80.14
44,0.31441112252235415,89.562,0.5718263000249862,80.54,0.3493434932231903,88.374,0.6030043118953705,79.99
45,0.3154169044685364,89.504,0.7077713945388794,76.98,0.34582098973274233,88.534,0.55915490193367,81.94
46,0.31128966946601866,89.584,0.7169398734092712,78.26,0.34556445861816404,88.324,0.6041993435382843,80.53
47,0.3124838283729553,89.52,0.5112719756841659,83.5,0.34838493606567383,88.3,0.636767316865921,80.03
48,0.30581294639587403,89.708,0.527228810787201,82.83,0.3348597803258896,88.81,0.49379317944049833,83.68
49,0.3065399189567566,89.778,0.47137029514312745,84.48,0.34297653093338015,88.412,0.6602649427890778,79.52
50,0.309143896484375,89.65,0.7617335290908813,77.77,0.33710160955429075,88.742,0.5159547638893127,82.69
