epoch,baseline_train_loss,baseline_train_acc,baseline_val_loss,baseline_val_acc,pruned_train_loss,pruned_train_acc,pruned_val_loss,pruned_val_acc
0,1.8500183683395386,34.384,1.464131112098694,46.49,1.8198366846466065,34.114,1.6244414474487305,40.89
1,1.3846107089614867,49.058,1.2593938974380494,53.65,1.395767766494751,48.66,1.3207132457733155,51.43
2,1.200197480392456,56.608,1.31070863571167,54.14,1.2104141690063477,56.178,1.176194706249237,57.64
3,1.0531215378570558,62.062,1.1703597282409668,59.3,1.0667910024642944,61.49,1.035426411151886,63.25
4,0.9586069328498841,66.02,1.0245735286712647,63.23,0.962697868347168,65.478,1.1426744636535644,59.14
5,0.8729898414421081,68.966,0.9746401476860046,65.68,0.8690727556037903,69.084,0.9799926612854004,65.83
6,0.7897203380966187,72.336,1.0053395720481872,65.87,0.7984260478401184,71.96,0.8886974732398987,69.36
7,0.7339110633468628,74.262,1.0034239292144775,65.04,0.7293962323379517,74.504,1.2946840353012086,59.81
8,0.6702724524307251,76.662,1.3332179014205932,59.81,0.6804566567993164,76.276,0.7672749455451965,73.81
9,0.6278657103729248,78.262,0.970686646938324,68.44,0.633776190700531,78.018,0.9907786756515503,66.54
10,0.5901723399162292,79.578,1.146738195514679,63.79,0.6058313610458375,79.134,0.7384826829910278,74.77
11,0.5650855345153809,80.282,1.0328179661750794,67.23,0.5833135460662842,80.022,0.6777312298297882,77.68
12,0.5456905317497254,81.142,0.7017707485198975,75.32,0.555578056602478,80.886,0.7421830240249634,74.61
13,0.5269576289558411,81.768,0.8070242001056671,73.45,0.5422460967445374,81.598,0.8498733891487121,71.72
14,0.5063062612056732,82.634,1.0054676215171814,70.17,0.5239750591945648,82.186,0.8569724565505982,71.32
15,0.49044911803245544,83.366,0.9169778285980225,71.11,0.5085008044624328,82.814,0.9279232389450073,70.9
16,0.4795714300441742,83.646,0.9717291573524475,69.83,0.4996416537284851,82.994,0.7224261629104615,75.36
17,0.4651725454807282,84.1,0.7353340053558349,76.34,0.48901331497192385,83.454,0.697244730424881,77.08
18,0.4544141087245941,84.674,0.7329086183547974,76.04,0.4764695381164551,84.018,0.8835355185508728,70.9
19,0.44412877111434934,84.974,0.6292663536548615,78.56,0.4586889186477661,84.634,0.9390190954208374,70.75
20,0.4362777517414093,85.25,0.6815471429824829,77.54,0.4550031844997406,84.614,0.5633929550170899,80.74
